rep,delta_target,window,n_pos,share_A,auc
10,0.20399999999999996,12,504,0.4027777777777778,0.7360331009451548
11,0.20399999999999996,1,306,0.6535947712418301,0.8138405057001684
11,0.20399999999999996,2,318,0.6289308176100629,0.7971215804298338
11,0.20399999999999996,3,333,0.6006006006006006,0.7909044976535472
11,0.20399999999999996,5,361,0.554016620498615,0.7792139689046162
11,0.20399999999999996,8,410,0.4902439024390244,0.7754497214434404
11,0.20399999999999996,12,469,0.42857142857142855,0.7557671139078128
12,0.20399999999999996,1,331,0.5800604229607251,0.7886200554881322
12,0.20399999999999996,2,350,0.5485714285714286,0.7812129509206653
12,0.20399999999999996,3,364,0.5274725274725275,0.7642517877684303
12,0.20399999999999996,5,384,0.5,0.7623599610326351
12,0.20399999999999996,8,423,0.45390070921985815,0.7605355889388935
12,0.20399999999999996,12,480,0.4,0.7454032532788282
13,0.20399999999999996,1,308,0.6136363636363636,0.7922489675660178
13,0.20399999999999996,2,321,0.5887850467289719,0.7802413299648427
13,0.20399999999999996,3,331,0.5740181268882175,0.7824084833148277
13,0.20399999999999996,5,362,0.5248618784530387,0.768103574519071
13,0.20399999999999996,8,414,0.45893719806763283,0.7641291810841984
13,0.20399999999999996,12,464,0.40948275862068967,0.7518110876138211
14,0.20399999999999996,1,327,0.5932721712538226,0.7952838529211415
14,0.20399999999999996,2,341,0.5689149560117303,0.7898930514203846
14,0.20399999999999996,3,355,0.5464788732394367,0.7854514213040006
14,0.20399999999999996,5,387,0.5012919896640827,0.7679094976996282
14,0.20399999999999996,8,425,0.45647058823529413,0.7655619225821542
14,0.20399999999999996,12,496,0.39314516129032256,0.7599113360256602
