rep,delta_target,w_B,rho,c_A,c_B,n_A,n_B,n_pos_mix,n_s_mix,auc_mix,auc_A,auc_B,bayes_A,bayes_B,delta_realized,gain,cx_min,cx_max,cx_ratio,comp_q1,comp_q5,comp_gap
27,0.0,0.631578947368421,0.8,0.99,0.458,200,248,448,324,0.8785350678733032,0.8726665176575771,0.8287994223315994,0.9080000000002156,0.907999999999723,0.043867095325977656,-0.005868550215726076,0.5,0.7429577464788732,1.4859154929577465,0.0,0.4964788732394366,0.4964788732394366
28,0.0,0.631578947368421,0.8,0.99,0.458,203,255,458,311,0.8703361275930016,0.8554449594489111,0.8149961359429199,0.9080000000004,0.9079999999994647,0.040448823505991216,-0.014891168144090527,0.6339285714285714,1.0,1.5774647887323945,1.0,0.46785714285714286,-0.5321428571428571
29,0.0,0.631578947368421,0.8,0.99,0.458,188,261,449,312,0.876263146809588,0.8970298856229246,0.8291920216362406,0.9079999999987208,0.9080000000007246,0.06783786398668401,0.020766738813336683,0.4883720930232558,1.0,2.047619047619048,0.0,0.513986013986014,0.513986013986014
0,0.20399999999999996,0.631578947368421,0.8,0.99,0.99,190,297,487,484,0.7786121202548306,0.901646639964397,0.6679536801032128,0.9079999999999299,0.7040000000023171,0.2336929598611842,0.12303451970956636,0.9914529914529915,1.0,1.0086206896551724,0.0,0.6068376068376068,0.6068376068376068
1,0.20399999999999996,0.631578947368421,0.8,0.99,0.99,197,264,461,456,0.7553066296644331,0.897955946337926,0.6029909076963841,0.9080000000013018,0.7040000000007919,0.2949650386415419,0.1426493166734929,0.9719626168224299,1.0,1.0288461538461537,0.034482758620689655,0.6820276497695853,0.6475448911488957
2,0.20399999999999996,0.631578947368421,0.8,0.99,0.99,209,282,491,490,0.7753017835949455,0.8747390755328013,0.6475407678004311,0.9079999999991359,0.7040000000032833,0.22719830773237015,0.09943729193785578,0.9956331877729258,1.0,1.0043859649122806,0.1111111111111111,0.6069868995633187,0.49587578845220764
3,0.20399999999999996,0.631578947368421,0.8,0.99,0.99,189,259,448,443,0.7570521798462975,0.8927206311547948,0.6051760142669234,0.907999999999561,0.7039999999977746,0.2875446168878715,0.13566845130849736,0.9819004524886877,1.0,1.0184331797235024,0.0,0.6334841628959276,0.6334841628959276
4,0.20399999999999996,0.631578947368421,0.8,0.99,0.99,198,290,488,486,0.7174559883588892,0.8905152462544156,0.5942566211072386,0.9080000000001648,0.7040000000006247,0.29625862514717693,0.17305925789552634,0.9767441860465116,1.0,1.023809523809524,0.06976744186046512,0.665,0.5952325581395349
5,0.20399999999999996,0.631578947368421,0.8,0.99,0.99,203,275,478,473,0.7654436876469721,0.8945054266574347,0.6064889412160457,0.90799999999946,0.7039999999975276,0.288016485441389,0.12906173901046258,0.9795918367346939,1.0,1.0208333333333333,0.05714285714285714,0.6388888888888888,0.5817460317460317
6,0.20399999999999996,0.631578947368421,0.8,0.99,0.99,200,271,471,469,0.754797588732443,0.863102369244524,0.6553239770624854,0.9079999999995513,0.7039999999996771,0.20777839218203864,0.10830478051208103,0.9861111111111112,1.0,1.0140845070422535,0.08,0.6318181818181818,0.5518181818181819
7,0.20399999999999996,0.631578947368421,0.8,0.99,0.99,185,317,502,498,0.7399219658832371,0.8781575536460083,0.6153993809892268,0.9080000000005176,0.704000000000864,0.2627581726567816,0.13823558776277123,0.9743589743589743,1.0,1.0263157894736843,0.058823529411764705,0.6036036036036037,0.5447800741918389
8,0.20399999999999996,0.631578947368421,0.8,0.99,0.99,180,292,472,471,0.756460516668823,0.8892827253482991,0.625427084331194,0.9080000000003132,0.7040000000014639,0.2638556410171051,0.13282220867947614,0.9954545454545455,1.0,1.004566210045662,0.034482758620689655,0.5954545454545455,0.5609717868338558
9,0.20399999999999996,0.631578947368421,0.8,0.99,0.99,203,279,482,476,0.7392057815368616,0.8483358397537387,0.6224799944193649,0.9079999999997266,0.7039999999977434,0.22585584533437386,0.10913005821687716,0.9354838709677419,1.0,1.0689655172413794,0.16129032258064516,0.6153846153846154,0.4540942928039703
10,0.20399999999999996,0.631578947368421,0.8,0.99,0.99,185,284,469,464,0.7517280756496264,0.8692813595122655,0.665972144992575,0.9079999999992925,0.704000000001298,0.20330921451969053,0.11755328386263908,0.9813953488372092,1.0,1.018957345971564,0.03125,0.5302325581395348,0.49898255813953485
11,0.20399999999999996,0.631578947368421,0.8,0.99,0.99,194,288,482,476,0.7450467468242934,0.8807492726512265,0.6107249495889561,0.9079999999992758,0.7039999999977746,0.2700243230622704,0.1357025258269331,0.9555555555555556,1.0,1.0465116279069766,0.1,0.647887323943662,0.547887323943662
12,0.20399999999999996,0.631578947368421,0.8,0.99,0.99,194,258,452,448,0.7451940438242571,0.8656346663847664,0.6282520607205496,0.9079999999992828,0.7039999999996346,0.23738260566421676,0.12044062256050925,0.9850746268656716,1.0,1.0151515151515151,0.15384615384615385,0.6272727272727273,0.47342657342657346
13,0.20399999999999996,0.631578947368421,0.8,0.99,0.99,197,254,451,448,0.7415065100939392,0.8901400471356056,0.603575950166101,0.9079999999998561,0.7040000000006381,0.2865640969695046,0.14863353704166637,0.9555555555555556,1.0,1.0465116279069766,0.0,0.675,0.675
14,0.20399999999999996,0.631578947368421,0.8,0.99,0.99,197,276,473,470,0.74072523176156,0.885650833937636,0.6125099759236532,0.9079999999994776,0.7040000000025332,0.2731408580139828,0.14492560217607597,0.9714285714285714,1.0,1.0294117647058825,0.02857142857142857,0.6280193236714976,0.599447895100069
15,0.20399999999999996,0.631578947368421,0.8,0.99,0.99,200,284,484,477,0.7508336401298279,0.8716629414394278,0.6302048239273075,0.9080000000000417,0.7039999999961819,0.24145811751212032,0.1208293013095999,0.9565217391304348,1.0,1.0454545454545454,0.21739130434782608,0.6330275229357798,0.41563621858795374
16,0.20399999999999996,0.631578947368421,0.8,0.99,0.99,191,306,497,490,0.7308064884150263,0.9049735888816884,0.5937545047739102,0.9079999999993597,0.7040000000030804,0.3112190841077782,0.17416710046666217,0.9745762711864406,1.0,1.0260869565217392,0.04081632653061224,0.6228813559322034,0.5820650294015911
17,0.20399999999999996,0.631578947368421,0.8,0.99,0.99,216,252,468,464,0.7712112530548284,0.8711457968549369,0.6103447023355489,0.9079999999996365,0.7039999999996016,0.26080109451938793,0.09993454380010847,0.9782608695652174,1.0,1.0222222222222221,0.038461538461538464,0.6554621848739496,0.6170006464124111
